"","X","...1","id","scientificName","kingdom","vernacularName","individualCount","longitudeDecimal","latitudeDecimal","country","stateProvince","eventDate","eventTime"
"19",19,19,"98480958@OBS","Fabriciana adippe","Animalia","High Brown Fritillary",1,22.8105930984,54.2240480189,"Poland",NA,"2014-07-14","12:02:00"
"20",20,20,"98480802@OBS","Orthetrum cancellatum","Animalia","Black-tailed Skimmer",1,22.8105930984,54.2240480189,"Poland",NA,"2014-07-14","12:01:00"
"21",21,21,"98480660@OBS","Aphantopus hyperantus","Animalia","Ringlet",1,22.8113333881,54.222843727,"Poland",NA,"2014-07-14","12:00:00"
"22",22,22,"98480627@OBS","Cygnus olor","Animalia","Mute Swan",10,22.8106789291,54.2227935474,"Poland",NA,"2014-07-14","11:34:00"
"23",23,23,"98480594@OBS","Speyeria aglaja","Animalia","Dark Green Fritillary",1,22.8114943206,54.2227935474,"Poland",NA,"2014-07-14","11:33:00"
"24",24,24,"98480565@OBS","Pieris napi","Animalia","Green-veined White",1,22.8114943206,54.2227935474,"Poland",NA,"2014-07-14","11:08:00"
"25",25,25,"98477023@OBS","Grus grus","Animalia","Common Crane",2,18.7557981535792,50.4581191898836,"Poland",NA,"2015-03-06","18:40:00"
"26",26,26,"98466101@OBS","Corvus cornix","Animalia","Hooded Crow",2,20.9673786155,52.1728473551,"Poland",NA,"2015-03-06","12:20:00"
"27",27,27,"98459605@OBS","Chrysochraon dispar","Animalia","Large Golden Grasshopper",1,23.0827333778,54.0690969167,"Poland",NA,"2014-07-13","18:25:00"
"28",28,28,"98459440@OBS","Thymelicus lineola","Animalia","Essex Skipper",1,23.0637507141,54.0965498294,"Poland",NA,"2014-07-13","14:44:00"
"29",29,29,"98459375@OBS","Motacilla alba","Animalia","White Wagtail",1,23.0852010101,54.0692228321,"Poland",NA,"2014-07-12","18:32:00"
"30",30,30,"98459178@OBS","Phalacrocorax carbo sinensis","Animalia","Great Cormorant ssp sinensis",1000,21.6224965453,54.10092817,"Poland",NA,"2014-07-10","12:20:00"
"31",31,31,"98458852@OBS","Aphantopus hyperantus","Animalia","Ringlet",1,21.5751387924,53.6457696846,"Poland",NA,"2014-07-09","11:42:00"
"32",32,32,"98458820@OBS","Lycaena virgaureae","Animalia","Scarce Copper",5,21.55,53.6,"Poland",NA,"2014-07-09","11:37:00"
"33",33,33,"98458790@OBS","Polygonia c-album","Animalia","Comma Butterfly",1,21.5763618797,53.6467490814,"Poland",NA,"2014-07-09","11:28:00"
"34",34,34,"98458619@OBS","Ciconia ciconia","Animalia","White Stork",1,21.576018557,53.646087673,"Poland",NA,"2014-07-09","11:39:00"
"35",35,35,"98439380@OBS","Corvus frugilegus","Animalia","Rook",1,22.8854566815,52.9923546957,"Poland",NA,"2015-03-05",NA
"36",36,36,"98394335@OBS","Capreolus capreolus","Animalia","European Roe Deer",10,22.8726911536,53.0305415518,"Poland",NA,"2015-03-02",NA
"37",37,37,"98394332@OBS","Grus grus","Animalia","Common Crane",2,22.8551387778,53.0297930894,"Poland",NA,"2015-03-02",NA
"38",38,38,"98326905@OBS","Dendrocoptes medius","Animalia","Middle Spotted Woodpecker",1,23.8331,52.7024,"Poland",NA,"2015-02-27","15:24:00"
"39",39,39,"98326904@OBS","Dendrocoptes medius","Animalia","Middle Spotted Woodpecker",1,23.8062,52.7102,"Poland",NA,"2015-02-27","12:57:00"
"40",40,40,"98326903@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,23.819,52.7075,"Poland",NA,"2015-02-27","12:04:00"
"41",41,41,"98295339@OBS","Grus grus","Animalia","Common Crane",2,22.7934265128,53.1016549771,"Poland",NA,"2015-02-26",NA
"42",42,42,"98284330@OBS","Cygnus cygnus","Animalia","Whooper Swan",5,22.9879760725,52.9841243711,"Poland",NA,"2015-02-20",NA
"43",43,43,"98283704@OBS","Capreolus capreolus","Animalia","European Roe Deer",10,22.9692935935,52.980262489,"Poland",NA,"2015-02-26",NA
"44",44,44,"98283701@OBS","Alces alces","Animalia","Elk",4,22.9706668845,52.9818300209,"Poland",NA,"2015-02-26",NA
"45",45,45,"98280402@OBS","Grus grus","Animalia","Common Crane",2,22.5751,53.2242,"Poland",NA,"2015-02-24","14:19:00"
"46",46,46,"98280401@OBS","Grus grus","Animalia","Common Crane",2,22.8094,53.065,"Poland",NA,"2015-02-24","13:12:00"
"47",47,47,"98237936@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,23.9064,52.7988,"Poland",NA,"2015-02-23","12:21:00"
"48",48,48,"98237935@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,23.7616,52.7876,"Poland",NA,"2015-02-23","10:55:00"
"49",49,49,"98220189@OBS","Papilio machaon","Animalia","Swallowtail",1,22.6007652283,53.6351542265,"Poland",NA,"2008-05-10",NA
"50",50,50,"98220085@OBS","Hemaris tityus","Animalia","Narrow-bordered Bee Hawk-moth",1,22.6007652283,53.6351542265,"Poland",NA,"2008-05-10",NA
"51",51,51,"98202686@OBS","Lacerta agilis","Animalia","Sand Lizard",1,22.8,53.65,"Poland",NA,"2008-05-08",NA
"52",52,52,"98202569@OBS","Passer montanus","Animalia","Eurasian Tree Sparrow",1,23.867297224553,52.760956852,"Poland",NA,"2008-05-07",NA
"53",53,53,"98202411@OBS","Picus canus","Animalia","Grey-headed Woodpecker",1,23.85,52.7,"Poland",NA,"2008-05-06",NA
"54",54,54,"98202387@OBS","Sciurus vulgaris","Animalia","Eurasian Red Squirrel",1,23.8484296203,52.7055662574,"Poland",NA,"2008-05-05",NA
"55",55,55,"98202382@OBS","Vipera berus","Animalia","Northern Viper",1,23.8,52.7,"Poland",NA,"2008-05-05",NA
"56",56,56,"98202379@OBS","Natrix natrix","Animalia","European Grass Snake",1,23.8,52.7,"Poland",NA,"2008-05-05",NA
"57",57,57,"98202378@OBS","Rana temporaria","Animalia","Common Frog",1,23.8484296203,52.7055662574,"Poland",NA,"2008-05-05",NA
"58",58,58,"98202368@OBS","Pelophylax lessonae","Animalia","Pool Frog",1,23.8484296203,52.7055662574,"Poland",NA,"2008-05-05",NA
"59",59,59,"98202365@OBS","Triturus cristatus","Animalia","Northern Crested Newt",1,23.8,52.7,"Poland",NA,"2008-05-05",NA
"60",60,60,"98202348@OBS","Saxicola rubetra","Animalia","Whinchat",1,23.8893198967,52.7167403785,"Poland",NA,"2008-05-05",NA
"61",61,61,"98202335@OBS","Dendrocoptes medius","Animalia","Middle Spotted Woodpecker",1,23.8913798332,52.7317116345,"Poland",NA,"2008-05-05",NA
"62",62,62,"98202332@OBS","Dendrocopos leucotos","Animalia","White-backed Woodpecker",1,23.8913798332,52.7317116345,"Poland",NA,"2008-05-05",NA
"63",63,63,"98202326@OBS","Ficedula albicollis","Animalia","Collared Flycatcher",1,23.8913798332,52.7317116345,"Poland",NA,"2008-05-05",NA
"64",64,64,"98202309@OBS","Hirundo rustica","Animalia","Barn Swallow",1,23.8668268919,52.7056174505,"Poland",NA,"2008-05-05",NA
"65",65,65,"98202301@OBS","Motacilla alba","Animalia","White Wagtail",1,23.8668268919,52.7056174505,"Poland",NA,"2008-05-05",NA
"66",66,66,"98202287@OBS","Jynx torquilla","Animalia","Eurasian Wryneck",1,23.8668268919,52.7056174505,"Poland",NA,"2008-05-05",NA
"67",67,67,"98202285@OBS","Parus major","Animalia","Great Tit",1,23.8668268919,52.7056174505,"Poland",NA,"2008-05-05",NA
"68",68,68,"98202260@OBS","Turdus philomelos","Animalia","Song Thrush",1,23.8668268919,52.7056174505,"Poland",NA,"2008-05-04",NA
"69",69,69,"98202255@OBS","Turdus pilaris","Animalia","Fieldfare",1,23.8668268919,52.7056174505,"Poland",NA,"2008-05-04",NA
"70",70,70,"98202243@OBS","Luscinia luscinia","Animalia","Thrush Nightingale",1,23.8668268919,52.7056174505,"Poland",NA,"2008-05-04",NA
"71",71,71,"98202230@OBS","Helix pomatia","Animalia","Escargot",1,23.8599604368,52.7119616856,"Poland",NA,"2008-05-04",NA
"72",72,72,"98202224@OBS","Hyla arborea","Animalia","Common Tree Frog",10,23.85,52.7,"Poland",NA,"2008-05-04",NA
"73",73,73,"98167784@OBS","Picoides tridactylus","Animalia","Eurasian Three-toed Woodpecker",1,23.7469245316,52.7283506315,"Poland",NA,"2015-02-20","13:30:00"
"74",74,74,"98160017@OBS","Pyrrhula pyrrhula","Animalia","Eurasian Bullfinch",15,22.7974963184,53.1048266856,"Poland",NA,"2015-02-19",NA
"75",75,75,"98085238@OBS","Sturnus vulgaris","Animalia","Common Starling",1,22.5844809748821,53.47962636315,"Poland",NA,"2015-02-08",NA
"76",76,76,"98085237@OBS","Passer domesticus","Animalia","House Sparrow",1,22.5844809748821,53.47962636315,"Poland",NA,"2015-02-08",NA
"77",77,77,"98085140@OBS","Cygnus olor","Animalia","Mute Swan",1,22.5844809748821,53.47962636315,"Poland",NA,"2015-02-08",NA
"78",78,78,"98082702@OBS","Capreolus capreolus","Animalia","European Roe Deer",1,22.9166686533,53.031454314,"Poland",NA,"2015-02-16",NA
"79",79,79,"98081864@OBS","Turdus pilaris","Animalia","Fieldfare",10,22.8993844977,53.0156008167,"Poland",NA,"2015-02-16",NA
"80",80,80,"98081855@OBS","Capreolus capreolus","Animalia","European Roe Deer",15,22.9168224317,53.0221390999,"Poland",NA,"2015-02-18",NA
"81",81,81,"97955559@OBS","Coloeus monedula","Animalia","Western Jackdaw",1,19.20161065,50.02799313,"Poland",NA,"2015-02-13","11:57:00"
"82",82,82,"97934573@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,22.5616854429,53.3668389663,"Poland",NA,"2015-02-06",NA
"83",83,83,"97926903@OBS","Remiz pendulinus","Animalia","Eurasian Penduline Tit",2,22.6,53.45,"Poland",NA,"2015-02-08",NA
"84",84,84,"97926874@OBS","Poecile montanus","Animalia","Willow Tit",1,22.5444321334,53.366737738,"Poland",NA,"2015-02-07",NA
"85",85,85,"97926868@OBS","Poecile palustris","Animalia","Marsh Tit",1,23.8228084892,52.6902614865,"Poland",NA,"2015-02-02",NA
"86",86,86,"97926859@OBS","Emberiza citrinella","Animalia","Yellowhammer",30,22.5932158157,53.3692282648,"Poland",NA,"2015-02-06",NA
"87",87,87,"97926852@OBS","Passer montanus","Animalia","Eurasian Tree Sparrow",50,22.5932158157,53.3692282648,"Poland",NA,"2015-02-06",NA
"88",88,88,"97926534@OBS","Coccothraustes coccothraustes","Animalia","Hawfinch",1,23.5953786224,52.7373438154,"Poland",NA,"2015-02-02",NA
"89",89,89,"97926502@OBS","Aegithalos caudatus caudatus","Animalia","White-headed Long-tailed Tit",15,23.8226227462,52.6900141685,"Poland",NA,"2015-02-02",NA
"90",90,90,"97921582@OBS","Sus scrofa","Animalia","Wild Boar",1,22.5603121519,53.3663268206,"Poland",NA,"2015-02-06",NA
"91",91,91,"97921573@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,22.5616854429,53.3668389663,"Poland",NA,"2015-02-06",NA
"92",92,92,"97921435@OBS","Castor fiber","Animalia","Eurasian Beaver",1,22.35,53.15,"Poland",NA,"2015-02-05",NA
"93",93,93,"97921425@OBS","Mustela vison","Animalia","Mink",1,22.4004511535,53.169645998,"Poland",NA,"2015-02-05",NA
"94",94,94,"97921423@OBS","Lutra lutra","Animalia","Eurasian Otter",2,22.4,53.15,"Poland",NA,"2015-02-05",NA
"95",95,95,"97921403@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,22.5834864378,53.3885482806,"Poland",NA,"2015-02-05",NA
"96",96,96,"97921382@OBS","Emberiza citrinella","Animalia","Yellowhammer",1,22.7753743529,53.6590335312,"Poland",NA,"2015-02-07",NA
"97",97,97,"97921380@OBS","Alces alces","Animalia","Elk",4,22.7753743529,53.6590335312,"Poland",NA,"2015-02-08",NA
"98",98,98,"97921370@OBS","Buteo lagopus","Animalia","Rough-legged Buzzard",7,22.637103796,53.4833437869,"Poland",NA,"2015-02-08",NA
"99",99,99,"97889270@OBS","Corvus corax","Animalia","Northern Raven",2,23.8453745842,52.745430771,"Poland",NA,"2015-02-04",NA
"100",100,100,"97889269@OBS","Haliaeetus albicilla","Animalia","White-tailed Eagle",1,23.8453745842,52.745430771,"Poland",NA,"2015-02-04",NA
"101",101,101,"97889004@OBS","Buteo lagopus","Animalia","Rough-legged Buzzard",7,22.637103796,53.4833437869,"Poland",NA,"2015-02-08",NA
"102",102,102,"97888992@OBS","Alces alces","Animalia","Elk",4,22.7753743529,53.6590335312,"Poland",NA,"2015-02-08",NA
"103",103,103,"97888989@OBS","Emberiza citrinella","Animalia","Yellowhammer",1,22.7753743529,53.6590335312,"Poland",NA,"2015-02-07",NA
"104",104,104,"97888982@OBS","Alces alces","Animalia","Elk",2,22.7753743529,53.6590335312,"Poland",NA,"2015-02-07",NA
"105",105,105,"97888974@OBS","Buteo lagopus","Animalia","Rough-legged Buzzard",1,22.8602045774,53.5948465113,"Poland",NA,"2015-02-07",NA
"106",106,106,"97888970@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,22.8602045774,53.5948465113,"Poland",NA,"2015-02-07",NA
"107",107,107,"97888965@OBS","Capreolus capreolus","Animalia","European Roe Deer",4,22.8602045774,53.5948465113,"Poland",NA,"2015-02-07",NA
"108",108,108,"97888955@OBS","Vulpes vulpes","Animalia","Red Fox",1,22.75,53.65,"Poland",NA,"2015-02-07",NA
"109",109,109,"97888924@OBS","Emberiza citrinella","Animalia","Yellowhammer",1,22.774258554,53.6577619534,"Poland",NA,"2015-02-06",NA
"110",110,110,"97888914@OBS","Alces alces","Animalia","Elk",1,22.7764901519,53.6600507658,"Poland",NA,"2015-02-06",NA
"111",111,111,"97888903@OBS","Alces alces","Animalia","Elk",2,22.6226252317,53.4538142791,"Poland",NA,"2015-02-06",NA
"112",112,112,"97888862@OBS","Sus scrofa","Animalia","Wild Boar",1,22.5603121519,53.3663268206,"Poland",NA,"2015-02-06",NA
"113",113,113,"97888849@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,22.5616854429,53.3668389663,"Poland",NA,"2015-02-06",NA
"114",114,114,"97888844@OBS","Haliaeetus albicilla","Animalia","White-tailed Eagle",1,22.5728434324,53.3678632393,"Poland",NA,"2015-02-06",NA
"115",115,115,"97888840@OBS","Alces alces","Animalia","Elk",2,22.6000249386,53.3333300681,"Poland",NA,"2015-02-06",NA
"116",116,116,"97888838@OBS","Capreolus capreolus","Animalia","European Roe Deer",5,22.6000249386,53.3333300681,"Poland",NA,"2015-02-06",NA
"117",117,117,"97888835@OBS","Castor fiber","Animalia","Eurasian Beaver",2,22.6,53.3,"Poland",NA,"2015-02-06",NA
"118",118,118,"97888833@OBS","Capreolus capreolus","Animalia","European Roe Deer",4,22.3984770477,53.170160505,"Poland",NA,"2015-02-05",NA
"119",119,119,"97888830@OBS","Castor fiber","Animalia","Eurasian Beaver",1,22.35,53.15,"Poland",NA,"2015-02-05",NA
"120",120,120,"97888827@OBS","Perdix perdix","Animalia","Grey Partridge",8,22.4534086883,53.2581788717,"Poland",NA,"2015-02-05",NA
"121",121,121,"97888826@OBS","Anser fabalis fabalis","Animalia","Taiga Bean Goose ssp fabalis",18,22.4534086883,53.2581788717,"Poland",NA,"2015-02-05",NA
"122",122,122,"97888810@OBS","Mustela vison","Animalia","Mink",1,22.4004511535,53.169645998,"Poland",NA,"2015-02-05",NA
"123",123,123,"97888807@OBS","Lutra lutra","Animalia","Eurasian Otter",2,22.4,53.15,"Poland",NA,"2015-02-05",NA
"124",124,124,"97888804@OBS","Lutra lutra","Animalia","Eurasian Otter",1,22.4,53.15,"Poland",NA,"2015-02-05",NA
"125",125,125,"97888181@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,22.5834864378,53.3885482806,"Poland",NA,"2015-02-05",NA
"126",126,126,"97888178@OBS","Capreolus capreolus","Animalia","European Roe Deer",12,22.5834864378,53.3885482806,"Poland",NA,"2015-02-05",NA
"127",127,127,"97888172@OBS","Alces alces","Animalia","Elk",12,22.5834864378,53.3885482806,"Poland",NA,"2015-02-05",NA
"128",128,128,"97888171@OBS","Sus scrofa","Animalia","Wild Boar",2,22.5542744994,53.3926439364,"Poland",NA,"2015-02-04",NA
"129",129,129,"97888167@OBS","Alces alces","Animalia","Elk",3,22.5844869018,53.3779006112,"Poland",NA,"2015-02-04",NA
"130",130,130,"97888165@OBS","Capreolus capreolus","Animalia","European Roe Deer",15,22.5844869018,53.3779006112,"Poland",NA,"2015-02-04",NA
"131",131,131,"97888162@OBS","Haliaeetus albicilla","Animalia","White-tailed Eagle",1,22.8928792477,53.3458343419,"Poland",NA,"2015-02-04",NA
"132",132,132,"97888159@OBS","Coccothraustes coccothraustes","Animalia","Hawfinch",5,23.2231530547,53.1129863933,"Poland",NA,"2015-02-04",NA
"133",133,133,"97888158@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,23.6002930999,52.8103877457,"Poland",NA,"2015-02-04",NA
"134",134,134,"97888156@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,23.6002930999,52.8103877457,"Poland",NA,"2015-02-04",NA
"135",135,135,"97888153@OBS","Dendrocopos major","Animalia","Great Spotted Woodpecker",1,23.5919098556,52.7382140659,"Poland",NA,"2015-02-04",NA
"136",136,136,"97888150@OBS","Dendrocopos syriacus","Animalia","Syrian Woodpecker",1,23.5919098556,52.7382140659,"Poland",NA,"2015-02-04",NA
"137",137,137,"97888147@OBS","Pyrrhula pyrrhula","Animalia","Eurasian Bullfinch",4,23.5919098556,52.7382140659,"Poland",NA,"2015-02-04",NA
"138",138,138,"97888143@OBS","Coloeus monedula monedula","Animalia","Western Jackdaw ssp monedula",1,23.5912232101,52.7379802144,"Poland",NA,"2015-02-04",NA
"139",139,139,"97888139@OBS","Dryobates minor","Animalia","Lesser Spotted Woodpecker",1,23.7685212493,52.6999492729,"Poland",NA,"2015-02-04",NA
"140",140,140,"97888135@OBS","Picoides tridactylus","Animalia","Eurasian Three-toed Woodpecker",3,23.7685212493,52.6999492729,"Poland",NA,"2015-02-04",NA
"141",141,141,"97888134@OBS","Lepus europaeus","Animalia","Brown Hare",1,23.7675623596,52.802527505,"Poland",NA,"2015-02-04",NA
"142",142,142,"97888130@OBS","Vulpes vulpes","Animalia","Red Fox",1,23.75,52.8,"Poland",NA,"2015-02-04",NA
"143",143,143,"97888128@OBS","Glaucidium passerinum","Animalia","Eurasian Pygmy Owl",1,23.8,52.8,"Poland",NA,"2015-02-04",NA
"144",144,144,"97888126@OBS","Tetrastes bonasia","Animalia","Hazel Grouse",1,23.8,52.8,"Poland",NA,"2015-02-04",NA
"145",145,145,"97888122@OBS","Dryocopus martius","Animalia","Black Woodpecker",5,23.827572763,52.801878468,"Poland",NA,"2015-02-04",NA
"146",146,146,"97888120@OBS","Dendrocopos leucotos","Animalia","White-backed Woodpecker",3,23.8240537047,52.7990243739,"Poland",NA,"2015-02-04",NA
"147",147,147,"97888117@OBS","Cervus elaphus","Animalia","Red Deer",3,23.8280019164,52.801878468,"Poland",NA,"2015-02-04",NA
"148",148,148,"97888115@OBS","Alcedo atthis","Animalia","Common Kingfisher",1,23.8505753875,52.7013535868,"Poland",NA,"2015-02-03",NA
"149",149,149,"97888113@OBS","Castor fiber","Animalia","Eurasian Beaver",1,23.85,52.7,"Poland",NA,"2015-02-03",NA
"150",150,150,"97888111@OBS","Cervus elaphus","Animalia","Red Deer",3,23.8221077621,52.798972885,"Poland",NA,"2015-02-03",NA
"151",151,151,"97888107@OBS","Sus scrofa","Animalia","Wild Boar",4,23.8221077621,52.798972885,"Poland",NA,"2015-02-03",NA
"152",152,152,"97888099@OBS","Glaucidium passerinum","Animalia","Eurasian Pygmy Owl",1,23.8,52.8,"Poland",NA,"2015-02-03",NA
"153",153,153,"97888095@OBS","Bombycilla garrulus","Animalia","Bohemian Waxwing",16,23.7970022857,52.912576669,"Poland",NA,"2015-02-03",NA
"154",154,154,"97888088@OBS","Haliaeetus albicilla","Animalia","White-tailed Eagle",6,23.8659390807,52.9081247852,"Poland",NA,"2015-02-03",NA
"155",155,155,"97888077@OBS","Passer montanus","Animalia","Eurasian Tree Sparrow",1,23.7998058647,52.8297355711,"Poland",NA,"2015-02-03",NA
"156",156,156,"97888068@OBS","Spinus spinus","Animalia","Eurasian Siskin",1,23.7998058647,52.8297355711,"Poland",NA,"2015-02-03",NA
"157",157,157,"97888010@OBS","Picus canus","Animalia","Grey-headed Woodpecker",1,23.75,52.8,"Poland",NA,"2015-02-03",NA
"158",158,158,"97887887@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,23.8210777938,52.8519247821,"Poland",NA,"2015-02-03",NA
"159",159,159,"97887730@OBS","Bombycilla garrulus","Animalia","Bohemian Waxwing",56,23.8343527168,52.8675363191,"Poland",NA,"2015-02-03",NA
"160",160,160,"97887727@OBS","Bombycilla garrulus","Animalia","Bohemian Waxwing",33,23.8178517669,52.8803191787,"Poland",NA,"2015-02-03",NA
"161",161,161,"97887238@OBS","Vulpes vulpes","Animalia","Red Fox",2,23.85,52.65,"Poland",NA,"2015-02-02",NA
"162",162,162,"97887237@OBS","Castor fiber","Animalia","Eurasian Beaver",1,23.85,52.65,"Poland",NA,"2015-02-02",NA
"163",163,163,"97887236@OBS","Castor fiber","Animalia","Eurasian Beaver",3,23.85,52.7,"Poland",NA,"2015-02-02",NA
"164",164,164,"97887234@OBS","Alces alces","Animalia","Elk",1,23.8909868896,52.6885574638,"Poland",NA,"2015-02-02",NA
"165",165,165,"97887206@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,23.8909868896,52.6885574638,"Poland",NA,"2015-02-02",NA
"166",166,166,"97887205@OBS","Glaucidium passerinum","Animalia","Eurasian Pygmy Owl",1,23.85,52.65,"Poland",NA,"2015-02-02",NA
"167",167,167,"97887204@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,23.7642149627,52.7029402934,"Poland",NA,"2015-02-02",NA
"168",168,168,"97887203@OBS","Buteo buteo","Animalia","Common Buzzard",1,23.8117799163,52.7070223946,"Poland",NA,"2015-02-02",NA
"169",169,169,"97887202@OBS","Periparus ater","Animalia","Coal Tit",1,23.8117799163,52.7070223946,"Poland",NA,"2015-02-02",NA
"170",170,170,"97887201@OBS","Lophophanes cristatus","Animalia","European Crested Tit",1,23.8117799163,52.7070223946,"Poland",NA,"2015-02-02",NA
"171",171,171,"97887197@OBS","Aegithalos caudatus caudatus","Animalia","White-headed Long-tailed Tit",6,23.8209061325,52.6897800586,"Poland",NA,"2015-02-02",NA
"172",172,172,"97887196@OBS","Emberiza citrinella","Animalia","Yellowhammer",1,23.8209061325,52.6897800586,"Poland",NA,"2015-02-02",NA
"173",173,173,"97887195@OBS","Dendrocopos major","Animalia","Great Spotted Woodpecker",3,23.8209061325,52.6897800586,"Poland",NA,"2015-02-02",NA
"174",174,174,"97887194@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,23.8209061325,52.6897800586,"Poland",NA,"2015-02-02",NA
"175",175,175,"97887193@OBS","Picus canus","Animalia","Grey-headed Woodpecker",2,23.8,52.65,"Poland",NA,"2015-02-02",NA
"176",176,176,"97887192@OBS","Passer montanus","Animalia","Eurasian Tree Sparrow",1,23.8486012816,52.6984928997,"Poland",NA,"2015-02-01",NA
"177",177,177,"97887191@OBS","Poecile palustris","Animalia","Marsh Tit",1,23.8486012816,52.6984928997,"Poland",NA,"2015-02-01",NA
"178",178,178,"97887190@OBS","Cervus elaphus","Animalia","Red Deer",4,23.7693795562,52.8097132906,"Poland",NA,"2015-02-01",NA
"179",179,179,"97887189@OBS","Lepus europaeus","Animalia","Brown Hare",1,23.7693795562,52.8097132906,"Poland",NA,"2015-02-01",NA
"180",180,180,"97887188@OBS","Sus scrofa","Animalia","Wild Boar",5,23.8246397674,52.7990766736,"Poland",NA,"2015-02-01",NA
"181",181,181,"97887176@OBS","Cervus elaphus","Animalia","Red Deer",1,23.5995487869,52.8102325084,"Poland",NA,"2015-02-01",NA
"182",182,182,"97887175@OBS","Emberiza citrinella","Animalia","Yellowhammer",1,23.5958151519,52.8115035731,"Poland",NA,"2015-02-01",NA
"183",183,183,"97887173@OBS","Haliaeetus albicilla","Animalia","White-tailed Eagle",1,23.8366144896,52.7321323019,"Poland",NA,"2015-02-01",NA
"184",184,184,"97887172@OBS","Garrulus glandarius","Animalia","Eurasian Jay",1,23.8373011351,52.742214112,"Poland",NA,"2015-02-01",NA
"185",185,185,"97887171@OBS","Dendrocoptes medius","Animalia","Middle Spotted Woodpecker",3,23.8373011351,52.742214112,"Poland",NA,"2015-02-01",NA
"186",186,186,"97887170@OBS","Cervus elaphus","Animalia","Red Deer",10,23.8378161192,52.7247513545,"Poland",NA,"2015-02-01",NA
"187",187,187,"97887168@OBS","Dendrocopos leucotos","Animalia","White-backed Woodpecker",2,23.842279315,52.718720921,"Poland",NA,"2015-02-01",NA
"188",188,188,"97887167@OBS","Dendrocopos major","Animalia","Great Spotted Woodpecker",1,23.842279315,52.718720921,"Poland",NA,"2015-02-01",NA
