"","...1","id","scientificName","kingdom","vernacularName","individualCount","longitudeDecimal","latitudeDecimal","country","stateProvince","eventDate","eventTime"
"87",87,"97926852@OBS","Passer montanus","Animalia","Eurasian Tree Sparrow",50,22.5932158157,53.3692282648,"Poland",NA,2015-02-06,NA
"88",88,"97926534@OBS","Coccothraustes coccothraustes","Animalia","Hawfinch",1,23.5953786224,52.7373438154,"Poland",NA,2015-02-02,NA
"89",89,"97926502@OBS","Aegithalos caudatus caudatus","Animalia","White-headed Long-tailed Tit",15,23.8226227462,52.6900141685,"Poland",NA,2015-02-02,NA
"90",90,"97921582@OBS","Sus scrofa","Animalia","Wild Boar",1,22.5603121519,53.3663268206,"Poland",NA,2015-02-06,NA
"91",91,"97921573@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,22.5616854429,53.3668389663,"Poland",NA,2015-02-06,NA
"92",92,"97921435@OBS","Castor fiber","Animalia","Eurasian Beaver",1,22.35,53.15,"Poland",NA,2015-02-05,NA
"93",93,"97921425@OBS","Mustela vison","Animalia","Mink",1,22.4004511535,53.169645998,"Poland",NA,2015-02-05,NA
"94",94,"97921423@OBS","Lutra lutra","Animalia","Eurasian Otter",2,22.4,53.15,"Poland",NA,2015-02-05,NA
"95",95,"97921403@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,22.5834864378,53.3885482806,"Poland",NA,2015-02-05,NA
"96",96,"97921382@OBS","Emberiza citrinella","Animalia","Yellowhammer",1,22.7753743529,53.6590335312,"Poland",NA,2015-02-07,NA
"97",97,"97921380@OBS","Alces alces","Animalia","Elk",4,22.7753743529,53.6590335312,"Poland",NA,2015-02-08,NA
"98",98,"97921370@OBS","Buteo lagopus","Animalia","Rough-legged Buzzard",7,22.637103796,53.4833437869,"Poland",NA,2015-02-08,NA
"99",99,"97889270@OBS","Corvus corax","Animalia","Northern Raven",2,23.8453745842,52.745430771,"Poland",NA,2015-02-04,NA
"100",100,"97889269@OBS","Haliaeetus albicilla","Animalia","White-tailed Eagle",1,23.8453745842,52.745430771,"Poland",NA,2015-02-04,NA
"101",101,"97889004@OBS","Buteo lagopus","Animalia","Rough-legged Buzzard",7,22.637103796,53.4833437869,"Poland",NA,2015-02-08,NA
"102",102,"97888992@OBS","Alces alces","Animalia","Elk",4,22.7753743529,53.6590335312,"Poland",NA,2015-02-08,NA
"103",103,"97888989@OBS","Emberiza citrinella","Animalia","Yellowhammer",1,22.7753743529,53.6590335312,"Poland",NA,2015-02-07,NA
"104",104,"97888982@OBS","Alces alces","Animalia","Elk",2,22.7753743529,53.6590335312,"Poland",NA,2015-02-07,NA
"105",105,"97888974@OBS","Buteo lagopus","Animalia","Rough-legged Buzzard",1,22.8602045774,53.5948465113,"Poland",NA,2015-02-07,NA
"106",106,"97888970@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,22.8602045774,53.5948465113,"Poland",NA,2015-02-07,NA
"107",107,"97888965@OBS","Capreolus capreolus","Animalia","European Roe Deer",4,22.8602045774,53.5948465113,"Poland",NA,2015-02-07,NA
"108",108,"97888955@OBS","Vulpes vulpes","Animalia","Red Fox",1,22.75,53.65,"Poland",NA,2015-02-07,NA
"109",109,"97888924@OBS","Emberiza citrinella","Animalia","Yellowhammer",1,22.774258554,53.6577619534,"Poland",NA,2015-02-06,NA
"110",110,"97888914@OBS","Alces alces","Animalia","Elk",1,22.7764901519,53.6600507658,"Poland",NA,2015-02-06,NA
"111",111,"97888903@OBS","Alces alces","Animalia","Elk",2,22.6226252317,53.4538142791,"Poland",NA,2015-02-06,NA
"112",112,"97888862@OBS","Sus scrofa","Animalia","Wild Boar",1,22.5603121519,53.3663268206,"Poland",NA,2015-02-06,NA
"113",113,"97888849@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,22.5616854429,53.3668389663,"Poland",NA,2015-02-06,NA
"114",114,"97888844@OBS","Haliaeetus albicilla","Animalia","White-tailed Eagle",1,22.5728434324,53.3678632393,"Poland",NA,2015-02-06,NA
"115",115,"97888840@OBS","Alces alces","Animalia","Elk",2,22.6000249386,53.3333300681,"Poland",NA,2015-02-06,NA
"116",116,"97888838@OBS","Capreolus capreolus","Animalia","European Roe Deer",5,22.6000249386,53.3333300681,"Poland",NA,2015-02-06,NA
"117",117,"97888835@OBS","Castor fiber","Animalia","Eurasian Beaver",2,22.6,53.3,"Poland",NA,2015-02-06,NA
"118",118,"97888833@OBS","Capreolus capreolus","Animalia","European Roe Deer",4,22.3984770477,53.170160505,"Poland",NA,2015-02-05,NA
"119",119,"97888830@OBS","Castor fiber","Animalia","Eurasian Beaver",1,22.35,53.15,"Poland",NA,2015-02-05,NA
"120",120,"97888827@OBS","Perdix perdix","Animalia","Grey Partridge",8,22.4534086883,53.2581788717,"Poland",NA,2015-02-05,NA
"121",121,"97888826@OBS","Anser fabalis fabalis","Animalia","Taiga Bean Goose ssp fabalis",18,22.4534086883,53.2581788717,"Poland",NA,2015-02-05,NA
"122",122,"97888810@OBS","Mustela vison","Animalia","Mink",1,22.4004511535,53.169645998,"Poland",NA,2015-02-05,NA
"123",123,"97888807@OBS","Lutra lutra","Animalia","Eurasian Otter",2,22.4,53.15,"Poland",NA,2015-02-05,NA
"124",124,"97888804@OBS","Lutra lutra","Animalia","Eurasian Otter",1,22.4,53.15,"Poland",NA,2015-02-05,NA
"125",125,"97888181@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,22.5834864378,53.3885482806,"Poland",NA,2015-02-05,NA
"126",126,"97888178@OBS","Capreolus capreolus","Animalia","European Roe Deer",12,22.5834864378,53.3885482806,"Poland",NA,2015-02-05,NA
"127",127,"97888172@OBS","Alces alces","Animalia","Elk",12,22.5834864378,53.3885482806,"Poland",NA,2015-02-05,NA
"128",128,"97888171@OBS","Sus scrofa","Animalia","Wild Boar",2,22.5542744994,53.3926439364,"Poland",NA,2015-02-04,NA
"129",129,"97888167@OBS","Alces alces","Animalia","Elk",3,22.5844869018,53.3779006112,"Poland",NA,2015-02-04,NA
"130",130,"97888165@OBS","Capreolus capreolus","Animalia","European Roe Deer",15,22.5844869018,53.3779006112,"Poland",NA,2015-02-04,NA
"131",131,"97888162@OBS","Haliaeetus albicilla","Animalia","White-tailed Eagle",1,22.8928792477,53.3458343419,"Poland",NA,2015-02-04,NA
"132",132,"97888159@OBS","Coccothraustes coccothraustes","Animalia","Hawfinch",5,23.2231530547,53.1129863933,"Poland",NA,2015-02-04,NA
"133",133,"97888158@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,23.6002930999,52.8103877457,"Poland",NA,2015-02-04,NA
"134",134,"97888156@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,23.6002930999,52.8103877457,"Poland",NA,2015-02-04,NA
"135",135,"97888153@OBS","Dendrocopos major","Animalia","Great Spotted Woodpecker",1,23.5919098556,52.7382140659,"Poland",NA,2015-02-04,NA
"136",136,"97888150@OBS","Dendrocopos syriacus","Animalia","Syrian Woodpecker",1,23.5919098556,52.7382140659,"Poland",NA,2015-02-04,NA
"137",137,"97888147@OBS","Pyrrhula pyrrhula","Animalia","Eurasian Bullfinch",4,23.5919098556,52.7382140659,"Poland",NA,2015-02-04,NA
"138",138,"97888143@OBS","Coloeus monedula monedula","Animalia","Western Jackdaw ssp monedula",1,23.5912232101,52.7379802144,"Poland",NA,2015-02-04,NA
"139",139,"97888139@OBS","Dryobates minor","Animalia","Lesser Spotted Woodpecker",1,23.7685212493,52.6999492729,"Poland",NA,2015-02-04,NA
"140",140,"97888135@OBS","Picoides tridactylus","Animalia","Eurasian Three-toed Woodpecker",3,23.7685212493,52.6999492729,"Poland",NA,2015-02-04,NA
"141",141,"97888134@OBS","Lepus europaeus","Animalia","Brown Hare",1,23.7675623596,52.802527505,"Poland",NA,2015-02-04,NA
"142",142,"97888130@OBS","Vulpes vulpes","Animalia","Red Fox",1,23.75,52.8,"Poland",NA,2015-02-04,NA
"143",143,"97888128@OBS","Glaucidium passerinum","Animalia","Eurasian Pygmy Owl",1,23.8,52.8,"Poland",NA,2015-02-04,NA
"144",144,"97888126@OBS","Tetrastes bonasia","Animalia","Hazel Grouse",1,23.8,52.8,"Poland",NA,2015-02-04,NA
"145",145,"97888122@OBS","Dryocopus martius","Animalia","Black Woodpecker",5,23.827572763,52.801878468,"Poland",NA,2015-02-04,NA
"146",146,"97888120@OBS","Dendrocopos leucotos","Animalia","White-backed Woodpecker",3,23.8240537047,52.7990243739,"Poland",NA,2015-02-04,NA
"147",147,"97888117@OBS","Cervus elaphus","Animalia","Red Deer",3,23.8280019164,52.801878468,"Poland",NA,2015-02-04,NA
"148",148,"97888115@OBS","Alcedo atthis","Animalia","Common Kingfisher",1,23.8505753875,52.7013535868,"Poland",NA,2015-02-03,NA
"149",149,"97888113@OBS","Castor fiber","Animalia","Eurasian Beaver",1,23.85,52.7,"Poland",NA,2015-02-03,NA
"150",150,"97888111@OBS","Cervus elaphus","Animalia","Red Deer",3,23.8221077621,52.798972885,"Poland",NA,2015-02-03,NA
"151",151,"97888107@OBS","Sus scrofa","Animalia","Wild Boar",4,23.8221077621,52.798972885,"Poland",NA,2015-02-03,NA
"152",152,"97888099@OBS","Glaucidium passerinum","Animalia","Eurasian Pygmy Owl",1,23.8,52.8,"Poland",NA,2015-02-03,NA
"153",153,"97888095@OBS","Bombycilla garrulus","Animalia","Bohemian Waxwing",16,23.7970022857,52.912576669,"Poland",NA,2015-02-03,NA
"154",154,"97888088@OBS","Haliaeetus albicilla","Animalia","White-tailed Eagle",6,23.8659390807,52.9081247852,"Poland",NA,2015-02-03,NA
"155",155,"97888077@OBS","Passer montanus","Animalia","Eurasian Tree Sparrow",1,23.7998058647,52.8297355711,"Poland",NA,2015-02-03,NA
"156",156,"97888068@OBS","Spinus spinus","Animalia","Eurasian Siskin",1,23.7998058647,52.8297355711,"Poland",NA,2015-02-03,NA
"157",157,"97888010@OBS","Picus canus","Animalia","Grey-headed Woodpecker",1,23.75,52.8,"Poland",NA,2015-02-03,NA
"158",158,"97887887@OBS","Lanius excubitor","Animalia","Great Grey Shrike",1,23.8210777938,52.8519247821,"Poland",NA,2015-02-03,NA
"159",159,"97887730@OBS","Bombycilla garrulus","Animalia","Bohemian Waxwing",56,23.8343527168,52.8675363191,"Poland",NA,2015-02-03,NA
"160",160,"97887727@OBS","Bombycilla garrulus","Animalia","Bohemian Waxwing",33,23.8178517669,52.8803191787,"Poland",NA,2015-02-03,NA
"161",161,"97887238@OBS","Vulpes vulpes","Animalia","Red Fox",2,23.85,52.65,"Poland",NA,2015-02-02,NA
"162",162,"97887237@OBS","Castor fiber","Animalia","Eurasian Beaver",1,23.85,52.65,"Poland",NA,2015-02-02,NA
"163",163,"97887236@OBS","Castor fiber","Animalia","Eurasian Beaver",3,23.85,52.7,"Poland",NA,2015-02-02,NA
"164",164,"97887234@OBS","Alces alces","Animalia","Elk",1,23.8909868896,52.6885574638,"Poland",NA,2015-02-02,NA
"165",165,"97887206@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,23.8909868896,52.6885574638,"Poland",NA,2015-02-02,NA
"166",166,"97887205@OBS","Glaucidium passerinum","Animalia","Eurasian Pygmy Owl",1,23.85,52.65,"Poland",NA,2015-02-02,NA
"167",167,"97887204@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,23.7642149627,52.7029402934,"Poland",NA,2015-02-02,NA
"168",168,"97887203@OBS","Buteo buteo","Animalia","Common Buzzard",1,23.8117799163,52.7070223946,"Poland",NA,2015-02-02,NA
"169",169,"97887202@OBS","Periparus ater","Animalia","Coal Tit",1,23.8117799163,52.7070223946,"Poland",NA,2015-02-02,NA
"170",170,"97887201@OBS","Lophophanes cristatus","Animalia","European Crested Tit",1,23.8117799163,52.7070223946,"Poland",NA,2015-02-02,NA
"171",171,"97887197@OBS","Aegithalos caudatus caudatus","Animalia","White-headed Long-tailed Tit",6,23.8209061325,52.6897800586,"Poland",NA,2015-02-02,NA
"172",172,"97887196@OBS","Emberiza citrinella","Animalia","Yellowhammer",1,23.8209061325,52.6897800586,"Poland",NA,2015-02-02,NA
"173",173,"97887195@OBS","Dendrocopos major","Animalia","Great Spotted Woodpecker",3,23.8209061325,52.6897800586,"Poland",NA,2015-02-02,NA
"174",174,"97887194@OBS","Dryocopus martius","Animalia","Black Woodpecker",1,23.8209061325,52.6897800586,"Poland",NA,2015-02-02,NA
"175",175,"97887193@OBS","Picus canus","Animalia","Grey-headed Woodpecker",2,23.8,52.65,"Poland",NA,2015-02-02,NA
"176",176,"97887192@OBS","Passer montanus","Animalia","Eurasian Tree Sparrow",1,23.8486012816,52.6984928997,"Poland",NA,2015-02-01,NA
"177",177,"97887191@OBS","Poecile palustris","Animalia","Marsh Tit",1,23.8486012816,52.6984928997,"Poland",NA,2015-02-01,NA
"178",178,"97887190@OBS","Cervus elaphus","Animalia","Red Deer",4,23.7693795562,52.8097132906,"Poland",NA,2015-02-01,NA
"179",179,"97887189@OBS","Lepus europaeus","Animalia","Brown Hare",1,23.7693795562,52.8097132906,"Poland",NA,2015-02-01,NA
"180",180,"97887188@OBS","Sus scrofa","Animalia","Wild Boar",5,23.8246397674,52.7990766736,"Poland",NA,2015-02-01,NA
"181",181,"97887176@OBS","Cervus elaphus","Animalia","Red Deer",1,23.5995487869,52.8102325084,"Poland",NA,2015-02-01,NA
"182",182,"97887175@OBS","Emberiza citrinella","Animalia","Yellowhammer",1,23.5958151519,52.8115035731,"Poland",NA,2015-02-01,NA
"183",183,"97887173@OBS","Haliaeetus albicilla","Animalia","White-tailed Eagle",1,23.8366144896,52.7321323019,"Poland",NA,2015-02-01,NA
"184",184,"97887172@OBS","Garrulus glandarius","Animalia","Eurasian Jay",1,23.8373011351,52.742214112,"Poland",NA,2015-02-01,NA
"185",185,"97887171@OBS","Dendrocoptes medius","Animalia","Middle Spotted Woodpecker",3,23.8373011351,52.742214112,"Poland",NA,2015-02-01,NA
"186",186,"97887170@OBS","Cervus elaphus","Animalia","Red Deer",10,23.8378161192,52.7247513545,"Poland",NA,2015-02-01,NA
"187",187,"97887168@OBS","Dendrocopos leucotos","Animalia","White-backed Woodpecker",2,23.842279315,52.718720921,"Poland",NA,2015-02-01,NA
"188",188,"97887167@OBS","Dendrocopos major","Animalia","Great Spotted Woodpecker",1,23.842279315,52.718720921,"Poland",NA,2015-02-01,NA
"189",189,"97887166@OBS","Picus viridis","Animalia","European Green Woodpecker",1,23.8431376219,52.7160173525,"Poland",NA,2015-02-01,NA
"190",190,"97887150@OBS","Aegithalos caudatus caudatus","Animalia","White-headed Long-tailed Tit",5,23.8397043943,52.7227759595,"Poland",NA,2015-02-01,NA
"191",191,"97887149@OBS","Corvus corax","Animalia","Northern Raven",1,23.8397043943,52.7227759595,"Poland",NA,2015-02-01,NA
"192",192,"97887148@OBS","Spinus spinus","Animalia","Eurasian Siskin",1,23.8448099792,52.7148747033,"Poland",NA,2015-02-01,NA
"193",193,"97887147@OBS","Pyrrhula pyrrhula","Animalia","Eurasian Bullfinch",1,23.8482861221,52.6986233414,"Poland",NA,2015-02-01,NA
"194",194,"97887146@OBS","Cervus elaphus","Animalia","Red Deer",2,23.8780412078,52.6880888205,"Poland",NA,2015-01-31,NA
"195",195,"97887145@OBS","Castor fiber","Animalia","Eurasian Beaver",2,23.85,52.65,"Poland",NA,2015-01-31,NA
"196",196,"97887143@OBS","Vulpes vulpes","Animalia","Red Fox",2,23.85,52.65,"Poland",NA,2015-01-31,NA
